fr,en,de,it
festo réf,festo ref,festo ref,festo rif
feuille,sheet,Blech,lamiera
feuilles antirouille,anti rust paper,Korrosionsschutzfolie,fogli antiruggine
fgénérer,fgenerate,fgenerieren,fgenerare
fiche technique cnc np,np cnc technical data sheet,technisches datenblatt cnc np,scheda tecnica cnc np
fiche technique cnc xf,cnc xf technical data sheet,technisches datenblatt cnc xf,scheda tecnica cnc xf
fiche technique cnc xs,cnc xs technical data sheet,technisches datenblatt cnc xs,scheda tecnica cnc xs
fiche technique cnc xw,cnc xw technical data sheet,technisches datenblatt cnc xw,scheda tecnica cnc xw
fiche technique cncxs,cncxs technical data sheet,technisches datenblatt cncxs,scheda tecnica cncxs
fiche technique cncxw,cncxw technical data sheet,technisches datenblatt cncxw,scheda tecnica cncxw
fiche technique machine,machine technical sheet,technisches datenblatt der maschine,scheda tecnica macchina
fichier,file,Datei,file
fichier centralisé rmc,central file rmc,zentrale Datei RMC,file centralizzato RMC
fichier csv,csv file,CSV-Datei,file csv
fichier des paramètres lasers,laser parameters file,Laser-Parameterdatei,file dei parametri laser
fichier dxf,dxf file,dxf datei,file dxf
fichier exe,exe file,Exe-Datei,file exe
fichier exemple,example file,Beispieldatei,example file
fichier iso,ISO file,ISO-Datei,file iso
fichier iso easy,easy ISO file,Easy-ISO-Datei,file iso easy
fichier log,log file,Logdatei,file log
fichier machine par machine rmw,machine by machine file rmw,Maschine-für-Maschine-Datei rmw,file macchina per macchina rmw
fichier meules,wheel file,Schleifscheibendatei,file mole
fichier outil,tool file,Werkzeugdatei,file utensile
fichier pdf,pdf file,PDF-Datei,file pdf
fichier rvg,rvg file,rvg-Datei,file rvg
fichier smfr,smfr file,smfr-Datei,file smfr
fichier toolimagejpg,toolimagejpg file,Toolimagejpg-Datei,file toolimagejpg
fichier tooltmr,tooltmr file,tooltmr-Datei,file tooltmr
fichier vgp,vgp file,vgp-Datei,file vgp
fichiers,files,Dateien,file
fichiers alphacam,alphacam files,Alphacam-Dateien,file Alphacam
fichiers batch,batch files,batch files,file batch
fichiers doutil,tool files,Werkzeugdateien,file degli utensili
fichiers rls,rls files,rls-Dateien,file rls
fichiers smfr et suivants,files smfr et seq,Dateien smfr ff.,file smfr e seguenti
figure,figure,Abbildung,figura
fil bleu borne bleu,blue wire terminal blue,blauer draht klemme blau,filo blu morsetto blu
fil brun borne orange,brown wire terminal orange,brauner draht klemme orange,filo marrone morsetto arancione
fil noir borne gris,black wire terminal gray,schwarzer draht klemme grau,filo nero morsetto grigio
file,file,Feile,lima
filet ébauche,rough thread,gewinde schruppen,filetto sgrossatura
filter,filter,Filter,filtro
filter exchange level,filter exchange level,Filterwechselstand,livello di sostituzione del filtro
filtre,filter,Filter,filtro
filtre alimentation,supply filter,Versorgungsfilter,filtro di alimentazione
filtre alimentation air comprimé,compressed air supply filter,druckluftversorgungsfilter,filtro di alimentazione aria compressa
filtre arrosage huile,oil spraying filter,Ölbesprühungsfilter,filtro per spruzzatura olio
filtre cn m,cn m filter,filter cn m,filtro cn m
filtre dalimentation,supply filter,Versorgungsfilter,filtro di alimentazione
filtre elbaron,elbaron filter,elbaron filter,filtro elbaron
filtre elbaron électrostatique,elbaron electrostatic filter,elbaron filter elektrostatisch,filtro elbaron elettrostatico
filtre hydrostatique,hydrostatic filter,Hydrostatikfilter,filtro idrostatico
filtre m,filter,Filter,filtro
filtre silencieux,silencer filter,Filterschalldämpfer,filtro silenzioso
filtres dentrée machine huileeau,machine oilwater inlet filters,Öl-Wasser-Filter am Maschineneinlass,filtri di ingresso macchina olioacqua
filtru,filter,Filter,filtro
fin,end,Ende,end
finalement il faut également que,lastly it is also necessary that,"schließlich ist es ebenfalls erforderlich, dass",alla fine bisogna anche che
finalisation,finalizing,Abschluss,finalizzazione
finition,finishing,schlichten,finitura
finition en option,finishing optional,Schlichten als Option,finitura in opzione
finition entrée si nécessaire,entry finishing if necessary,schälanschnitt schlichten falls erforderlich,finitura entrata se necessario
finition filet,thread finishing,gewinde schlichten,finitura filetto
finition taillage,gear finishing,Zahnräder feinschlichten,finitura taglio
fixation,mounting,Befestigung,fissaggio
fixation horizontale famille f,horizontal mounting f family,horizontale Montage Familie f,fissaggio orizzontale famiglia f
fixation insert v,v insert fastening,Befestigung V-Prisma-Einsatz,fissaggio inserto a v
fixation support insert v,v insert support fastening,Befestigung V-Einsatz-Halterung,fissaggio supporto inserto a V
fixation type hsk xw,hsk fastening xw,aufnahme typ hsk xw,fissaggio tipo hsk xw
fixation type perfect arbor xs,perfect arbor fastening xs,Aufnahme Typ Perfect Arbor XS,fissaggio tipo Perfect Arbor XS
fixation type std xs,std fastening xs,aufnahme typ std xs,fissaggio tipo std xs
fixation verticale,vertical mounting,vertikale Befestigung,fissaggio verticale
fixation verticale famille f,vertical mounting f family,vertikale montage familie f,fissaggio verticale famiglia f
fixe à,fixed at,fest bei,fisso a
flags,flags,flags,flags
flamme nue,naked flame,offenes feuer,fiamma libera
flasque,flange,Flansch,flangia
flute,flute,Nut,gola
flèche rouge,red arrow,roter Pfeil,freccia rossa
focale,focal length,Fokus,focale
folio,page,Seite,pagina
fonction,function,Funktion,funzione
fonction export,export function,Exportfunktion,funzione di esportazione
fonction f,press function key f,Funktion f,funzione f
fonction jugée interdite,deemed forbidden function,als verboten angesehene Funktion,funzione ritenuta proibita
fonction nc boot,nc boot function,nc boot funktion,funzione di avvio nc
fonction spéciale voir chapitre,special function see chapter,spezialfunktion siehe kapitel,funzione speciale vedi capitolo
fonctionnement,operation,Betrieb,funzionamento
fonctionnement en mode automatique,operation in automatic mode,Betrieb im Automatikmodus,funzionamento in modalità automatica
fonctionnement en mode automatique dry run,operation in automatic mode dry run,betrieb in betriebsart automatik dry run,funzionamento in modalità automatica dry run
fonctionnement en mode manuel,operation in manual mode,Betrieb im manuellen Modus,funzionamento in modalità manuale
fonctionnement électrique,electrical operation,elektrische Funktion,funzionamento elettrico
fonctionobservation,functionobservation,funktionanmerkung,funzioneosservazione
fonctions,functions,Funktionen,funzioni
fonctions avancées,advanced functions,fortgeschrittene funktionen,funzioni avanzate
fonctions manuelles,manual functions,manuelle Funktionen,funzioni manuali
fonctions spécifiques,specific functions,Sonderfunktionen,funzioni specifiche
fond,background,Hintergrund,sfondo
fond jaune,yellow background,gelber Hintergrund,sfondo giallo
force,strength,Kraft,forza
format,format,Format,formato
format csv,csv format,CSV-Format,formato CSV
format whs,whs format,WHS-Format,format whs
formation,training,Schulung,formazione
formation au laser,laser training,Laserschulung,formazione al laser
formation et sécurité définition,training and safety definition,schulung und sicherheit definition,formazione e sicurezza definizione
formation initiale,initial training,Erstausbildung,formazione iniziale
formation interne,in-house training,interne ausbildung,formazione interna
formation interne niveau,internal training level,interne Schulungsstufe,livello di formazione interna
formation par étapes à améliorer,stepwise training to be improved,schrittweise ausbildung zu verbessern,formazione graduale da migliorare
formations divers,various courses,verschiedene Ausbildungen,corsi vari
forme,form,Form,forma
forme débauche,blank shape,Rohform,forma grezza
forme en demi lune,half moon shaped,halbmondform,forma a mezzaluna
forme en v,v shaped,V-Form,forma a V
forme extérieure,external form,äußere Form,forma esterna
forme géométrique,geometric form,geometrische form,forma geometrica
forme ou plongée,form or plunge,Form- oder Eintauchschleifen,forma o tuffo
formes des meules selon norme fepa,wheel shapes according to FEPA standard,Schleifscheibenformen gemäß der FEPA-Norm,forme delle mole secondo la norma FEPA
formes divers,various shapes,verschiedene formen,forme diverse
formes possibles,possible forms,mögliche formen,forme possibili
formulaire à renvoyer,form to be returned,zurückzusendendes formular,modulo da restituire
formule,formula,Formel,formula
fourche,fork,Gabel,forcella
fraise boule,ball nose cutter,kugelfräser,fresa a sfera
fraise conique,conical milling cutter,konusfräser,fresa conica
fraise dents,cutter teeth,Fräserzähne,denti della fresa
fraise dents au centre,center-cutting milling cutter,fräser zähne im zentrum,fresa a denti centrali
fraise débauche,roughing cutter,schruppfräser,fresa da sgrossatura
fraise mèches seulement,cutter drills only,nur fräse bohrer,solo fresa e punte
fraise n géométrie frontale,mill front geometry,Fräser Stirngeometrie,geometria frontale della fresa
fraise n géométrie radiale extérieure,mill external radial geometry,Fräser mit äußerer Radialgeometrie,fresa geometria radiale esterna
fraise n géométrie radiale intérieure,mill internal radial geometry,Fräser n radiale Innengeometrie,fresa n geometria radiale interna
fraise rayon en coin,corner radius cutter,Eckradiusfräser,fresa a raggio d’angolo
fraise sets,set mill,Fräsersets,set di frese
fraise à alésage,cutter with bore,Fräser mit Bohrung,fresa con foro
fraise à fileter,thread milling cutter,gewindefräser,fresa per filettare
fraise à filter,thread endmill,Gewindefräser,fresa per filettare
fraises,milling cutters,Fräser,frese
fraises boules et rayons en coin,ball end mills and corner radii,kugelfräser und eckenradien,frese a sfera e raggi d’angolo
fraises coniques,taper end mills,Konusfräser,frese coniche
fraises cylindriques,end mills,Zylinderfräser,frese cilindriche
fraises kevlar,kevlar end mills,kevlar fräser,frese in kevlar
fraises scie,slitting saws,Frässägeblätter,frese a disco
fraises spéciales,special cutters,Sonderfräser,frese speciali
fraises ébauche,roughing end mills,schruppfräser,frese da sgrossatura
framework net,net framework,net framework,framework net
frein,brake,Bremse,freno
frein a actif,active A-axis brake,aktive A-Achsenbremse,freno asse A attivo
frein axe a actif,a axis brake applied,Bremse Achse A aktiv,freno asse A attivo
frein axe b actif,b axis brake applied,bremse achse b aktiv,freno asse b attivo
frein axe y actif,y axis brake applied,bremse achse y aktiv,freno asse y attivo
frein b actif,b axis brake active,B-Achse Bremse aktiv,freno asse B attivo
frein v actif,brake v axis active,Bremse V-Achse aktiv,freno asse v attivo
frein y actif,y axis brake active,Bremse Achse Y aktiv,freno asse Y attivo
freins,brakes,Bremsen,freni
front loading method,front loading method,Frontlademethode,metodo di caricamento frontale
frontal,front,Stirn,frontale
fréquence,frequency,Häufigkeit,frequenza
fréquence dalimentation,power supply frequency,Versorgungsfrequenz,frequenza di alimentazione
fuite,leak,Leck,perdita
full,full,full,full
fumer,to smoke,rauchen,fumare
fumée,smoke,Rauch,fumo
fumées,fumes,Rauch,fumi
g axe a securite position,g a axis security position,g a achse sicherheits position,g pos sicur asse a
g marcel aubert communication,g marcel aubert communication,g marcel aubert kommunikation,g marcel aubert comunicazione
g meule deja,g wheel already used,g Schleifscheibe bereits verwendet,g mola già usata
g meule déjà utilisée,g wheel already used,g Schleifscheibe bereits verwendet,g mola già utilizzata
